id,name,main_category,self_service_cat1,self_service_cat2,self_service_cat3,self_service_cat4,self_service_cat5,featured,installed_count,used_licenses,remaining_licenses,total_licenses,price,latest_release,average_rating,bundle_id,jamf_url,itunes_url
786,Jamf Self Service,Productivity,Productivity,Utilities,None,None,None,FALSE,6588,6514,1486,8000,0,2018-11-16T20:41:15Z,2.5,com.jamfsoftware.selfservice,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=786,https://itunes.apple.com/us/app/self-service-mobile/id718509958?mt=8&uo=4
580,Google Drive,Productivity,3rd-5th Grade,6th-8th Grade,Productivity,None,None,TRUE,5699,6514,1486,8000,0,2019-04-22T14:50:59Z,5,com.google.Drive,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=580,https://itunes.apple.com/us/app/google-drive-free-online-storage/id507874739?mt=8&uo=4
953,iMovie,Video Editing,3rd-5th Grade,6th-8th Grade,Early Childhood,K-2nd Grade,Video Editing,TRUE,3736,6514,1486,8000,0,2018-11-07T18:10:56Z,4,com.apple.iMovie,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=953,https://itunes.apple.com/us/app/imovie/id377298193?mt=8&uo=4
955,Green Screen by Do Ink,Video Editing,3rd-5th Grade,6th-8th Grade,Early Childhood,K-2nd Grade,Video Editing,FALSE,2468,5642,928,6570,2.99,2019-01-24T19:30:03Z,3.5,com.doink.DKGreenScreen,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=955,https://itunes.apple.com/us/app/green-screen-by-do-ink/id730091131?mt=8&uo=4
1387,Clips,Video Editing,3rd-5th Grade,6th-8th Grade,Creativity,Early Childhood,K-2nd Grade,FALSE,1932,6514,1486,8000,0,2019-04-02T17:00:10Z,3.5,com.apple.clips,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=1387,https://itunes.apple.com/us/app/clips/id1212699939?mt=8&uo=4
523,Adobe Spark Video,Video Editing,3rd-5th Grade,6th-8th Grade,Digital Storytelling,Video Editing,None,FALSE,447,6514,1486,8000,0,2019-04-09T21:50:55Z,4.5,com.adobe.Voice,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=523,https://itunes.apple.com/us/app/adobe-voice-show-your-story/id852555131?mt=8&uo=4
1016,Explain Everything Whiteboard,Digital Storytelling,3rd-5th Grade,6th-8th Grade,Digital Storytelling,Productivity,None,TRUE,1417,2579,96,2675,13.99,2019-05-01T07:27:43Z,4.5,com.morriscooke.ExplainEverything,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=1016,https://itunes.apple.com/us/app/explain-everything-interactive/id431493086?mt=8&uo=4
1007,Shadow Puppet Edu,Digital Storytelling,3rd-5th Grade,6th-8th Grade,Digital Storytelling,K-2nd Grade,Video Editing,FALSE,2260,6514,1486,8000,0,2019-01-14T17:23:45Z,4.5,co.shadowpuppet.puppetedu,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=1007,https://itunes.apple.com/us/app/shadow-puppet-edu/id888504640?mt=8&uo=4
1169,Book Creator for iPad,Digital Storytelling,3rd-5th Grade,6th-8th Grade,Digital Storytelling,Early Childhood,K-2nd Grade,FALSE,4869,5830,740,6570,4.99,2019-04-04T20:08:14Z,4,com.redjumper.mystorybook,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=1169,https://itunes.apple.com/us/app/book-creator-for-ipad-create/id442378070?mt=8&uo=4
513,Google Photos,Photo Editing,3rd-5th Grade,6th-8th Grade,Photo Editing,Productivity,None,FALSE,533,6514,1486,8000,0,2019-05-01T18:03:42Z,5,com.google.photos,https://jamf.myorg.com:8443/mobileDeviceApps.html?id=513,https://itunes.apple.com/us/app/google-photos-store-search/id962194608?mt=8&uo=4
